,date,post_count_anger,post_count_disgust,post_count_fear,post_count_joy,post_count_neutral,post_count_sadness,post_count_surprise,score_anger,score_disgust,score_fear,score_joy,score_neutral,score_sadness,score_surprise,close
0,2022-01-03,51.0,2.0,113.0,307.0,363.0,203.0,362.0,13504.0,67.0,1164.0,6042.0,3283.0,3746.0,4424.0,170.4044952
1,2022-01-04,52.0,0.0,109.0,282.0,405.0,221.0,343.0,2617.0,0.0,3176.0,3009.0,1705.0,7868.0,12906.0,167.5220032
2,2022-01-05,63.0,2.0,94.0,288.0,376.0,234.0,338.0,1356.0,59.0,1236.0,4129.0,3223.0,3309.0,16997.0,164.3569946
3,2022-01-06,59.0,1.0,102.0,273.0,380.0,233.0,355.0,1570.0,4.0,7577.0,8396.0,1900.0,2497.0,7311.0,163.2539978
4,2022-01-07,50.0,1.0,94.0,285.0,354.0,208.0,320.0,1337.0,0.0,8320.0,2634.0,2983.0,8245.0,3051.0,162.5540009
5,2022-01-10,56.0,1.0,110.0,282.0,404.0,204.0,341.0,5244.0,2.0,5415.0,4510.0,2961.0,3197.0,1921.0,161.4859924
6,2022-01-11,47.0,2.0,119.0,265.0,373.0,192.0,350.0,725.0,13.0,994.0,4116.0,2868.0,3661.0,4850.0,165.3619995
7,2022-01-12,60.0,3.0,106.0,279.0,387.0,188.0,320.0,2465.0,15.0,2244.0,3183.0,3611.0,1660.0,10595.0,165.2070007
8,2022-01-13,47.0,1.0,89.0,271.0,382.0,197.0,306.0,1591.0,2.0,18323.0,4175.0,2571.0,4540.0,2387.0,161.2140045
9,2022-01-14,59.0,0.0,93.0,256.0,384.0,204.0,280.0,6969.0,0.0,2719.0,3042.0,2722.0,4234.0,3630.0,162.1380005
10,2022-01-18,60.0,2.0,108.0,293.0,402.0,233.0,331.0,3990.0,6.0,1473.0,6255.0,2035.0,4387.0,18664.0,158.9174957
11,2022-01-19,42.0,3.0,118.0,281.0,427.0,212.0,345.0,13287.0,28.0,1207.0,2837.0,2429.0,4455.0,6095.0,156.298996
12,2022-01-20,65.0,2.0,90.0,284.0,375.0,171.0,329.0,1206.0,4.0,4097.0,3918.0,1932.0,1568.0,9371.0,151.6674957
13,2022-01-21,62.0,0.0,100.0,295.0,368.0,198.0,291.0,2062.0,0.0,1807.0,8632.0,5928.0,3463.0,3292.0,142.6430054
14,2022-01-24,48.0,1.0,115.0,289.0,409.0,194.0,297.0,1287.0,15.0,5608.0,4760.0,2745.0,5453.0,7713.0,144.5440063
15,2022-01-25,44.0,4.0,121.0,263.0,396.0,200.0,333.0,1661.0,7.0,7191.0,3083.0,3097.0,2769.0,3443.0,139.9859924
16,2022-01-26,57.0,3.0,112.0,277.0,366.0,167.0,321.0,1584.0,510.0,41338.0,3468.0,2752.0,2353.0,3343.0,138.8724976
17,2022-01-27,71.0,0.0,82.0,292.0,382.0,205.0,283.0,2717.0,0.0,3326.0,3908.0,5034.0,7251.0,13147.0,139.6374969
18,2022-01-28,63.0,1.0,85.0,250.0,337.0,192.0,294.0,1820.0,1.0,727.0,4751.0,2542.0,4142.0,2986.0,143.9779968
